case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,latitude,longitude
1518560,"Maxi Maintenex, Inc.","Maxi Maintenex, Inc.",5740 N. Elston Ave,Chicago,IL,60646,11,41.9856187,-87.7699052
1513417,"Telecom General Contractors, Inc","Telecom General Contractors, Inc.",300 W Adams,Chicago,IL,60606,20,41.8868,-87.6386
1513418,Alliance Air,"International Cargo Marketing, Inc.",O'Hare Airport,Chicago,IL,60666,92,41.9779849,-87.9093214
1557215,"Rainbow Beach QOA, LLC","Rainbow Beach Care QOC, LLC",7325 S. Exchange Ave.,Chicago,IL,60649,110,41.7621383,-87.5625119
1738298,"Care Communications, Inc.","Care Communications, Inc.","205 W. Wacker Drive, Ste. 1900",Chicago,IL,60606,93,41.879272,-87.636626
1607125,Blue Angel,"Blue Angel, Inc",5310 N. Milwaukee,Chicago,IL,60630,18,41.9699,-87.7603
1541662,Notlem Group Inc,"Notlem Group, Inc.",646 E 43rd St,Chicago,IL,60653,0,41.8169324,-87.6097017
1745400,CVR Associates,CVR Housing Services Corporation,"60 E Van Buren St, 8th Floor",Chicago,IL,60605,78,41.8713,-87.6277
1688648,Riviera Nayarit,"Azteca Tacos Restaurant, Inc.",1514 W. 18th St,Chicago,IL,60608,0,41.8580406,-87.664467
1644353,Rio's D'Sudamerica,"Rio's De Sudamerica, Inc",2010-12 W. Armitage Ave.,Chicago,IL,60647,11,41.917826,-87.678304
1645903,Little Village Car Wash,Little Village Car Wash Inc.,2600 W. Cermak Road,Chicago,IL,60608,21,41.8523032,-87.6911479
1586613,Lincoln Park Cleaners,Lincoln Park Cleaners,659 W. Armitage,Chicago,IL,60614,0,41.9229,-87.6483
1610147,Joe and Frank's Market,Joe and Frank's Sausage,7147 W. Archer Avenue,Chicago,IL,60638,75,41.7918677,-87.8005947
1733879,Eleven twelve Communications,"Eleven Twelve Communications, LLC",2600 West 35th Street,Chicago,IL,60632,0,41.830181,-87.6944425
1407741,"Loss Prevention, Inc.","LOss Prevention, Inc.",3315 S. Halsted,Chicago,IL,60608,0,41.8515,-87.6694
1443239,Jewel Food Store,Albertson's,4250 N. Lincoln,Chicago,IL,60618,0,41.9464,-87.7042
1649839,Mufflers for Less Laramie,"Mufflers 4 Less III, Inc.",2604 N. Laramie,Chicago,IL,60639,7,41.9202,-87.7535
1396590,LVL,"Larry Vassar Leasing, Inc",4917 N. Greenhurst,Chicago,IL,60640,9,41.9719,-87.6624
1397840,DuBois Douglas Centers,The Dubois-Douglas Centres,8801 S. Stony Island,Chicago,IL,60617,41,41.7257,-87.556
1147898,"Comtek International, Inc.","Comtek International, Inc.","111 N. Canal,  Suite 941",Chicago,IL,60606,7,41.8868,-87.6386
1653152,United Temps Inc.,"United Temps, Inc.","1550 South Indiana Ave., Suite 300",Chicago,IL,60605,1,41.860724,-87.622553
1717758,Rosati's Pizza,Salman Ukani,5544 N. Milwaukee Ave.,Chicago,IL,60630,3,41.9825558,-87.7746362
1771606,La Baguette- 3117 26th street,Alex Cafe Inc,3117 West 26th street,Chicago,IL,60623,2,41.844453,-87.7035005
1352221,Metro/Smartbar,"Stages Music All, Inc.",3730 N. Clark,Chicago,IL,60630,41,41.9699,-87.7603
1373101,Jordan Security Services,"Jordan Security Services, Inc",2600 S. Michigan Avenue,Chicago,IL,60616,6,41.8454129,-87.6241035
1377889,Zacatacos,"Zacatacos, Inc.",5925 S. Pulaski,Chicago,IL,60629,46,41.7781,-87.7069
328983,Medwest Home Health Care,"Medwest Home Health Care, Inc.",7115 West Grand,Chicago,IL,60635,0,41.9222,-87.808
1382836,Neway Fashion Ltd.,Neway Fashion Limited,2607 S.Halsted Avenue,Chicago,IL,60616,16,41.8426,-87.6306
1543120,Cosmo,Creative L Inc.,6301 S Ashland Ave,Chicago,IL,60636,2,41.779266,-87.6639506
